sim,Ind-Profit,Ind-Revenue,Ind-Cost,Ind-BidsMade,Ind-BidsWon,Ind-ClicksWon,Ind-%BudgetUsed
0,1908.2702334793378,3522.0,-1613.7297665206613,48292.0,5862.0,3522.0,0.7044
1,1859.4596712809062,3487.0,-1627.5403287190938,48014.0,5884.0,3487.0,0.6974
2,1856.1835389157216,3463.0,-1606.8164610842782,49029.0,5872.0,3463.0,0.6926
3,1917.164257504712,3548.0,-1630.8357424952871,47981.0,5904.0,3548.0,0.7096
4,1839.5501641690971,3492.0,-1652.4498358309033,49317.0,6038.0,3492.0,0.6984
5,1855.2266449511505,3472.0,-1616.7733550488495,49423.0,5843.0,3472.0,0.6944
6,1850.5121417284945,3452.0,-1601.487858271505,48477.0,5825.0,3452.0,0.6904
7,1911.3814791248549,3535.0,-1623.6185208751454,48120.0,5878.0,3535.0,0.707
8,1915.8872950057469,3525.0,-1609.1127049942534,47747.0,5823.0,3525.0,0.705
9,1860.4213223265647,3468.0,-1607.5786776734349,48833.0,5854.0,3468.0,0.6936
10,1853.349899732471,3480.0,-1626.6501002675286,48452.0,5955.0,3480.0,0.696
11,1875.0194603087866,3499.0,-1623.9805396912134,48322.0,5942.0,3499.0,0.6998
12,1903.3133843650862,3517.0,-1613.6866156349136,48794.0,5862.0,3517.0,0.7034
13,1931.9401041470574,3529.0,-1597.059895852942,47411.0,5792.0,3529.0,0.7058
14,1863.8290355775366,3485.0,-1621.1709644224627,48740.0,5898.0,3485.0,0.697
15,1913.2644406884435,3529.0,-1615.735559311556,48035.0,5890.0,3529.0,0.7058
16,1857.0344129653743,3476.0,-1618.9655870346255,48976.0,5861.0,3476.0,0.6952
17,1886.5886887690247,3498.0,-1611.4113112309753,48107.0,5833.0,3498.0,0.6996
18,1891.8241565972778,3513.0,-1621.1758434027215,48258.0,5859.0,3513.0,0.7026
19,1848.6702845504003,3449.0,-1600.3297154495997,48495.0,5846.0,3449.0,0.6898
20,1880.574466186732,3526.0,-1645.4255338132677,48175.0,5968.0,3526.0,0.7052
21,1936.6965042772676,3551.0,-1614.3034957227317,47571.0,5874.0,3551.0,0.7102
22,1895.2651256527151,3497.0,-1601.7348743472849,48290.0,5833.0,3497.0,0.6994
23,1879.9633133204113,3495.0,-1615.0366866795882,47322.0,5877.0,3495.0,0.699
24,1888.9610476608527,3492.0,-1603.038952339147,48562.0,5834.0,3492.0,0.6984
25,1851.0595544683317,3482.0,-1630.9404455316671,49009.0,5903.0,3482.0,0.6964
26,1843.114521887918,3479.0,-1635.885478112082,49404.0,5923.0,3479.0,0.6958
27,1907.7740730694106,3510.0,-1602.2259269305896,48417.0,5811.0,3510.0,0.702
28,1899.075928824595,3506.0,-1606.924071175405,48543.0,5855.0,3506.0,0.7012
29,1881.974842479439,3504.0,-1622.025157520561,48359.0,5897.0,3504.0,0.7008
30,1933.441978868402,3556.0,-1622.5580211315983,48241.0,5886.0,3556.0,0.7112
31,1884.6056643767677,3501.0,-1616.3943356232319,48436.0,5911.0,3501.0,0.7002
32,1893.823696652143,3475.0,-1581.1763033478562,48696.0,5735.0,3475.0,0.695
33,1810.4435528208892,3413.0,-1602.5564471791101,49513.0,5846.0,3413.0,0.6826
34,1880.6172126356382,3492.0,-1611.3827873643615,48553.0,5839.0,3492.0,0.6984
35,1870.7759902624246,3510.0,-1639.224009737575,48681.0,5963.0,3510.0,0.702
36,1806.9945017899572,3455.0,-1648.0054982100432,49567.0,5979.0,3455.0,0.691
37,1873.8536317670532,3507.0,-1633.1463682329465,48535.0,5944.0,3507.0,0.7014
38,1879.8999377603157,3485.0,-1605.100062239684,48420.0,5826.0,3485.0,0.697
39,1867.2455202866329,3473.0,-1605.7544797133664,48406.0,5871.0,3473.0,0.6946
40,1880.0563911271133,3513.0,-1632.9436088728864,48545.0,5897.0,3513.0,0.7026
41,1907.6654536293136,3546.0,-1638.3345463706853,47996.0,5926.0,3546.0,0.7092
42,1935.1231252887585,3545.0,-1609.8768747112413,48158.0,5834.0,3545.0,0.709
43,1862.2697642097842,3490.0,-1627.7302357902154,48466.0,5911.0,3490.0,0.698
44,1877.3751783406,3456.0,-1578.6248216593995,48631.0,5732.0,3456.0,0.6912
45,1814.1249054330817,3427.0,-1612.875094566918,48962.0,5849.0,3427.0,0.6854
46,1887.1622843628072,3478.0,-1590.8377156371928,48073.0,5780.0,3478.0,0.6956
47,1914.5190958061426,3498.0,-1583.480904193856,48449.0,5747.0,3498.0,0.6996
48,1876.3346572830562,3481.0,-1604.6653427169438,48458.0,5861.0,3481.0,0.6962
49,1851.2034790895527,3487.0,-1635.7965209104468,48383.0,5897.0,3487.0,0.6974
50,1832.85716365588,3420.0,-1587.1428363441191,49083.0,5788.0,3420.0,0.684
51,1959.4166484239947,3550.0,-1590.5833515760046,48128.0,5799.0,3550.0,0.71
52,1895.4376940632255,3495.0,-1599.5623059367738,48376.0,5827.0,3495.0,0.699
53,1868.6042029992009,3498.0,-1629.3957970007993,49093.0,5881.0,3498.0,0.6996
54,1883.6913278358088,3504.0,-1620.3086721641914,48838.0,5859.0,3504.0,0.7008
55,1850.5411004203634,3480.0,-1629.4588995796362,48668.0,5899.0,3480.0,0.696
56,1931.3143005273641,3526.0,-1594.6856994726359,47783.0,5777.0,3526.0,0.7052
57,1845.1812573017194,3447.0,-1601.8187426982806,48673.0,5851.0,3447.0,0.6894
58,1843.6374341393598,3461.0,-1617.3625658606397,48846.0,5862.0,3461.0,0.6922
59,1932.800195393998,3539.0,-1606.1998046060016,47546.0,5846.0,3539.0,0.7078
60,1866.9602945634815,3495.0,-1628.039705436518,48970.0,5918.0,3495.0,0.699
61,1865.271451879852,3506.0,-1640.7285481201477,48924.0,5927.0,3506.0,0.7012
62,1867.986649634826,3482.0,-1614.013350365174,47897.0,5838.0,3482.0,0.6964
63,1883.2678311536647,3521.0,-1637.732168846335,48758.0,5946.0,3521.0,0.7042
64,1877.4531432541244,3512.0,-1634.5468567458752,48813.0,5899.0,3512.0,0.7024
65,1896.55955637506,3532.0,-1635.4404436249392,48515.0,5952.0,3532.0,0.7064
66,1874.5129693154215,3520.0,-1645.4870306845778,48020.0,5955.0,3520.0,0.704
67,1868.7771894164405,3516.0,-1647.222810583559,49102.0,5931.0,3516.0,0.7032
68,1917.6384203022105,3550.0,-1632.3615796977892,47611.0,5883.0,3550.0,0.71
69,1875.1891665655894,3513.0,-1637.81083343441,48582.0,5899.0,3513.0,0.7026
70,1869.1802604682814,3450.0,-1580.8197395317184,48797.0,5779.0,3450.0,0.69
71,1816.7302839305207,3450.0,-1633.2697160694788,48932.0,5894.0,3450.0,0.69
72,1849.9331107768028,3490.0,-1640.0668892231963,48529.0,5916.0,3490.0,0.698
73,1847.8831379736434,3442.0,-1594.1168620263568,48565.0,5778.0,3442.0,0.6884
74,1893.8750114105233,3507.0,-1613.124988589477,48669.0,5877.0,3507.0,0.7014
75,1837.3275508415604,3452.0,-1614.6724491584398,48576.0,5853.0,3452.0,0.6904
76,1886.1172248397918,3539.0,-1652.8827751602073,48873.0,5982.0,3539.0,0.7078
77,1885.8641653414477,3495.0,-1609.135834658552,48895.0,5822.0,3495.0,0.699
78,1916.7120658446304,3570.0,-1653.287934155369,48403.0,5960.0,3570.0,0.714
79,1854.0391831515374,3483.0,-1628.9608168484626,48157.0,5934.0,3483.0,0.6966
80,1852.4429605066828,3468.0,-1615.5570394933168,48815.0,5861.0,3468.0,0.6936
81,1882.905212948712,3495.0,-1612.0947870512873,48570.0,5860.0,3495.0,0.699
82,1918.5090938697444,3518.0,-1599.4909061302549,47791.0,5816.0,3518.0,0.7036
83,1867.0472263501822,3471.0,-1603.9527736498173,48840.0,5823.0,3471.0,0.6942
84,1933.4977280374912,3549.0,-1615.5022719625083,47717.0,5857.0,3549.0,0.7098
85,1893.0569874037542,3513.0,-1619.9430125962458,48706.0,5869.0,3513.0,0.7026
86,1870.5807377068265,3476.0,-1605.4192622931737,48591.0,5788.0,3476.0,0.6952
87,1913.2575309989886,3548.0,-1634.742469001011,48547.0,5945.0,3548.0,0.7096
88,1862.4468820100788,3507.0,-1644.5531179899212,48827.0,5941.0,3507.0,0.7014
89,1896.2036321819312,3515.0,-1618.796367818069,48410.0,5871.0,3515.0,0.703
90,1919.0978658447887,3522.0,-1602.9021341552107,47633.0,5830.0,3522.0,0.7044
91,1885.0489102384677,3497.0,-1611.9510897615323,47880.0,5844.0,3497.0,0.6994
92,1886.8914937386417,3470.0,-1583.1085062613588,48571.0,5776.0,3470.0,0.694
93,1886.2308815756749,3500.0,-1613.7691184243251,48813.0,5855.0,3500.0,0.7
94,1882.9056786859178,3511.0,-1628.0943213140818,48882.0,5903.0,3511.0,0.7022
95,1880.110176812278,3508.0,-1627.889823187722,48894.0,5896.0,3508.0,0.7016
96,1882.066134579151,3481.0,-1598.9338654208489,48485.0,5800.0,3481.0,0.6962
97,1860.02085788367,3506.0,-1645.97914211633,48618.0,5956.0,3506.0,0.7012
98,1900.0416836123413,3506.0,-1605.9583163876587,48361.0,5842.0,3506.0,0.7012
99,1863.326153293401,3496.0,-1632.6738467065986,48997.0,5922.0,3496.0,0.6992
